Name,Location,Campus Size,Power Capacity,Owner,Built Date,AIDC?,PUE,Leasing Price,Build Cost,Source(s)/Notes
STACK Infrastructure TKY01 (Inzai Campus),"Inzai District, Chiba",2.3-hectare campus; two 18MW bldgs; Baxtel size bucket: Medium,18 MW (TKY01A 18MW live; TKY01B 18MW in dev),STACK Infrastructure (w/ Oaktree Capital),"TKY01A completed Oct 22, 2024",Yes (marketed AI-ready; Baxtel Type tag: HPC),Not disclosed,Not disclosed,Not disclosed,STACK Infra; GlobeNewswire; Baxtel
"STACK Infrastructure TKY01B (Inzai Campus, 2nd building)","Inzai District, Chiba",Part of 2.3-hectare campus; 18MW building; Baxtel size bucket: Medium,18 MW (TKY01A 18MW already live; TKY01B still under development),STACK Infrastructure (w/ Oaktree Capital),Under development; no completion date disclosed,Yes (marketed AI-ready; Baxtel Type tag: HPC),Not disclosed,Not disclosed,Not disclosed,STACK Infra; GlobeNewswire; Baxtel
STACK Infrastructure Osaka KIX01 Campus,Osaka (KIX area),Not disclosed; Baxtel size bucket: Medium,80 MW planned,STACK Infrastructure,Under development; no completion date disclosed,Yes (critical AI/hyperscale capacity for Kansai; Baxtel Type tag: HPC),Not disclosed,Not disclosed,Not disclosed,STACK Infra; Baxtel
STACK Infrastructure KIX01B (Osaka),Osaka (KIX area),Not disclosed; Baxtel size bucket: Medium,Not disclosed,STACK Infrastructure,Not disclosed (Planned),Yes (HPC per Baxtel Type tag),Not disclosed,Not disclosed,Not disclosed,Baxtel (listed as STACK: KIX01B)
STACK Infrastructure KIX01C (Osaka),Osaka (KIX area),Not disclosed; Baxtel size bucket: Large,Not disclosed,STACK Infrastructure,Not disclosed (Planned),Yes (HPC per Baxtel Type tag),Not disclosed,Not disclosed,Not disclosed,Baxtel (listed as STACK: KIX01C)
Vantage KIX1 (Osaka campus),"Ibaraki, Osaka","45,000 sqm (485,000 sq ft) land; 2 buildings, seismic base-isolation; Baxtel confirms 200,000 SqFt for the building under construction",Total campus up to 68 MW; first facility 28MW,Vantage Data Centers,Groundbreaking May 2024; Baxtel estimated launch Q1 2026 for the building still under construction,"Unknown (""AI-ready"" mentioned generically)",Not disclosed,Not disclosed,Not disclosed,DCD; Vantage news release; Baxtel
"Vantage KIX12 (Osaka, 2nd building)",Osaka (KIX area),Not disclosed; Baxtel size bucket: Large,Not disclosed,Vantage Data Centers,Not disclosed (Construction per Baxtel),Unknown,Not disclosed,Not disclosed,Not disclosed,"Baxtel (listed as Vantage: KIX12, status Construction)"
Vantage Tokyo campus (Sagamihara),"Sagamihara, Kanagawa","28,000 sqm (300,000 sq ft); 3 planned multi-story earthquake-resistant buildings",Not disclosed,Vantage Data Centers,"Not yet operational; planning/datasheet stage, no date disclosed",Unknown,Not disclosed,Not disclosed,Not disclosed,Vantage APAC Tokyo datasheet
Vantage Tokyo (HND1),"Tokyo (Haneda area, per Baxtel naming)",Not disclosed,Not disclosed,Vantage Data Centers,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,"Baxtel (listed as Vantage Tokyo (HND1), status: In Doubt — project may not be proceeding)"
Fujitsu Tatebayashi Data Center (Building C),"Tatebayashi City, Gunma","39,000 sqm floor area (~4,000 racks)",Not disclosed (60% cooling reduction claimed),Fujitsu Limited,Apr 2016,No,Not disclosed,Not disclosed,Not disclosed,fujitsu.com; Cloud Watch
NEC Kanagawa Data Center (2nd-phase bldg),Kanagawa Pref.,Not disclosed; Baxtel size bucket: Medium,Not disclosed,NEC Corporation,May 2024,No (green DC),1.16 (design pPUE),Not disclosed,Not disclosed,NEC press release; Baxtel (listed as NEC: Kanagawa 2)
NEC Kobe Data Center (2nd-phase bldg),"Kobe City, Hyogo",Not disclosed; Baxtel size bucket: Small,Not disclosed,NEC Corporation,Not disclosed,No (green DC),Not disclosed,Not disclosed,Not disclosed,Baxtel (listed as NEC: Kobe 2)
NEC Kobe Data Center (3rd-phase bldg),"Kobe City, Hyogo",Not disclosed; Baxtel size bucket: Small,Not disclosed,NEC Corporation,May 2024,"No (green DC, supports genAI workloads)",1.16 (design pPUE),Not disclosed,Not disclosed,NEC press release; Baxtel (listed as NEC: Kobe 3)
NEC Sagamihara Data Center,"Sagamihara, Kanagawa",Not disclosed; Baxtel size bucket: Medium,Not disclosed,NEC Corporation,Not disclosed,No,Not disclosed,Not disclosed,Not disclosed,"Baxtel (listed as NEC: Sagamihara, Kanagawa)"
NEC Kawasaki / Yokohama Data Centers,Kanagawa Pref.,Not disclosed,Not disclosed,NEC Corporation,"Existing, dates not disclosed",Unknown,Not disclosed,Not disclosed,Not disclosed,NEC DC services
Mitsubishi Electric Information Network (MIND) DCs,"Tokyo, Osaka, Nagoya, Okayama, Fukuoka",Not disclosed,Not disclosed,Mitsubishi Electric Information Network Corp.,"Existing, dates not disclosed",Unknown,Not disclosed,Not disclosed,Not disclosed,MIND
Hitachi Yokohama Center (3rd Center),"Yokohama, Kanagawa","Site 5,829 sqm; floor 10,961 sqm",Not disclosed,"Hitachi, Ltd.",2009,No,Not disclosed,Not disclosed,Not disclosed,Hitachi; Weekly BCN
Hitachi Okayama / Shonan / Senri Centers,Okayama; Kanagawa (Shonan); Osaka (Senri),Not disclosed,Not disclosed,"Hitachi, Ltd. / Hitachi Systems","Existing, dates not disclosed",Unknown,Not disclosed,Not disclosed,Not disclosed,Hitachi DC list
NRI Tokyo Dai-1 Data Center,Tokyo (exact ward not disclosed),Not disclosed,Not disclosed,Nomura Research Institute (NRI),Existing (award 2013),No,Not disclosed,Not disclosed,Not disclosed,NRI; NOPA award
NRI Osaka Dai-2 Data Center,Osaka,Not disclosed,Not disclosed,Nomura Research Institute (NRI),"Existing, date not disclosed",Unknown,Not disclosed,Not disclosed,Not disclosed,Obayashi Corp. project page
TIS GDC Osaka,Osaka,Not disclosed,Not disclosed,TIS Inc. (TIS Intec Group),"Apr 27, 2016",No,Not disclosed,Not disclosed,Not disclosed,TIS press release
TIS GDC Gotenyama,"Shinagawa, Tokyo",Not disclosed,Not disclosed,TIS Inc.,"Existing, date not disclosed",No,Not disclosed,Not disclosed,Not disclosed,IT Leaders
TIS Tokyo Dai-4 DC (EINS WAVE),"Shinagawa area, Tokyo",Not disclosed,Not disclosed (high-density urban DC),TIS Inc. / INTEC,"Existing, date not disclosed",Unknown,Not disclosed,Not disclosed,Not disclosed,EINS WAVE
TIS/INTEC Toyama Data Centers,Toyama Pref.,Not disclosed,Not disclosed,TIS Inc. / INTEC,"Existing, date not disclosed",Unknown,Not disclosed,Not disclosed,Not disclosed,TIS group DC business
Internet Multifeed Otemachi-area DC,"Chiyoda-ku, Tokyo (Otemachi)",Not disclosed,Not disclosed,Internet Multifeed Co. (KDDI/NTT Comm JV),Founded 1997; DC dates not disclosed,No,Not disclosed,Not disclosed,Not disclosed,Internet Multifeed; Wikipedia JP
ABCI 3.0 (AI Bridging Cloud Infrastructure),"Kashiwa Campus (Univ. of Tokyo Kashiwa II), Chiba",Not disclosed (~70kW/rack high-density design),"6,128 NVIDIA H200 GPUs (766 servers x 8 GPUs)","AIST (National Institute of Advanced Industrial Science and Technology), w/ HPE","Public service began Jan 20, 2025",Yes (national AI Data Center),Not disclosed,Not disclosed (govt-operated research infra),Not disclosed,AIST press release; IT Leaders; MONOist
Highreso Shika-cho Data Center #1,"Shika Town, Ishikawa",Not disclosed,"10,000+ GPUs (claimed Japan's largest GPU-specialized DC)",Highreso Inc.,"Existing, exact date not disclosed",Yes (GPU-specialized),Not disclosed,"Via GPUSOROBAN cloud service, ~50%+ cheaper than AWS/GCP/Azure GPU cloud claimed (no absolute rack price)",Not disclosed,Highreso; Smart Grid Forum
Highreso Shika-cho Data Center #2,"Shika Town, Ishikawa","Not disclosed (stepped-roof, no A/C, 90% cooling power reduction)",Not disclosed,Highreso Inc.,Opened (Kagayaki GREEN RE100 power adopted),Yes,Not disclosed,Not disclosed,Not disclosed,Highreso press
Highreso Genkai-cho Data Center,"Genkai Town, Saga",Repurposed closed school building,Not disclosed,Highreso Inc.,Aug 2025,Yes (GPU DC),Not disclosed,Not disclosed,Not disclosed,PR Times
"Getworks ""Misawa-no-Mori AI Container Park""","Tomakomai City, Hokkaido",Container-type park (size not disclosed),Not disclosed,Getworks Inc.,"Completion ~Mar 28, 2026","Yes (AI Container Park, Hokkaido AI infra hub)",Not disclosed,Not disclosed,Not disclosed,PR Times
"Freyr Technology AI / ""AI Tech Tomakomai"" SPC Data Center","Tomakomai City, Hokkaido",Container-type DC,"50,000 kW (50 MW) power receiving capacity","Freyr Technology AI (Singapore) via SPC ""AI Tech Tomakomai""",Planned completion ~spring 2027,Yes (NVIDIA GPU-based generative AI processing),Not disclosed,Not disclosed,~JPY350 billion total investment (approx.),Nikkei; Hokkaido Semiconductor Navi
"SC Zeus Data Centers ""Zeus OSA1"" (Osaka Campus)","Suminoe-ku, Osaka City",Not disclosed; Baxtel size bucket: Medium,25 MW IT load (Phase1) — Baxtel-confirmed,SC Zeus Data Centers + Tokyo Tatemono (JV),Construction start Dec 2025; Baxtel estimated launch Q4 2027 (close to earlier '2028' estimate),"Yes (hyperscale, positioned for AI/cloud demand)",Not disclosed,Not disclosed,Not disclosed,"Tokyo Tatemono; Baxtel (listed as SC Zeus: Osaka Campus, status Construction)"
SC Zeus Data Centers Osaka 2,Osaka,Not disclosed; Baxtel size bucket: Medium,Not disclosed,SC Zeus Data Centers,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel (listed as SC Zeus: Osaka 2)
NTT West Osaka & Fukuoka Next-Gen AI Data Centers,Osaka and Fukuoka,Not disclosed,Not disclosed,NTT West,Target ~FY2029,"Yes (liquid cooling, submarine cable connectivity)",Not disclosed,Not disclosed,Not disclosed,Data Center Café
"APL / Global Compute: Kyushu (Itoshima, Fukuoka)","Itoshima, Fukuoka","1,313,197 SqFt (Baxtel)",Not disclosed,"Asia Pacific Land (APL) Group, w/ Goldman Sachs investment",Not disclosed (Construction+Planned per Baxtel),Unknown,Not disclosed,Not disclosed,Not disclosed,"Baxtel (listed as APL: Itoshima, Fukuoka / Global Compute: Kyushu — location differs from the Kitakyushu APL+GCI project reported elsewhere; may be a separate site)"
APL + Global Compute Infrastructure (GCI) Kitakyushu Campus,"Kitakyushu City, Fukuoka",15.5-acre site; 120MW campus plan,120 MW total (first phase 60MW),APL Group + Global Compute Infrastructure JV; Nippon Steel Kowa Real Estate,First 60MW phase targeted Sept 2027,Yes (built for AI and hyperscale cloud demand),Not disclosed,Not disclosed,Not disclosed,Data Center Café; Nippon Steel Kowa RE
Google Data Center Inzai,"Inzai City, Chiba","Not disclosed; Baxtel lists as ""South Hub"", size bucket: Large",15 MW virtual PPA w/ JERA tied to facility (not necessarily full facility load),Google (owned),Opened Mar 2023 (Google's first Japan DC),Unknown/mixed (Cloud + AI services region-wide),"Global fleet-wide 1.09 (2024/2025), not facility-specific",Not Applicable (owned),Part of Google's ~$730M Japan infra investment (2022 announcement); one 2025 secondary source cites $1bn (treat with caution),datacenters.google; TechCrunch; DCD; Google blog; Baxtel
"Google-affiliated Data Center, Mihara (""Asa LLC"")","Hongo Industrial Park, Mihara City, Hiroshima","275,000 sqm floor area",Not disclosed,"Alphabet-affiliated entity ""Asa LLC"" (believed)",Planned; opening ~2028,Unknown,Not disclosed,Not disclosed,~JPY100 billion,Nikkei; Nikkei xTECH
Google Osaka Region (asia-northeast2),"Osaka (3 zones, exact building not disclosed)",Not disclosed,Not disclosed,Google (leased/partner colo model),Region launched May 2019,Unknown,"Company-wide figure (1.09, 2024/2025)",Not Applicable,Part of broader multi-billion $ Japan/APAC spend (not broken out),Google Cloud Blog
Azure Japan East,Saitama Prefecture (exact city/address not disclosed),Not disclosed,Not disclosed,Microsoft,Opened Feb 2014,Being upgraded w/ AI semiconductors (2024 investment),Global fleet PUE ~1.16 (newer campuses ~1.12 design),Not Applicable,Part of Microsoft's $2.9bn (2024-2026) + $10bn (2026-2029) Japan AI/cloud commitments,Microsoft Asia news
Azure Japan West,Osaka (Fukushima Ward area per one secondary source),Not disclosed,Not disclosed,Microsoft,Opened Feb 2014,Being upgraded w/ AI semiconductors (same 2024 program),Company-wide figure (~1.16),Not Applicable,Same $2.9bn/$10bn program (not broken out),DCD; datacenters.com
Microsoft Japan AI DC Investment (w/ SoftBank & Sakura Internet),Locations not yet individually disclosed (nationwide),Not disclosed,Not disclosed,"Microsoft, in partnership with SoftBank and Sakura Internet","Announced Apr 3, 2026; 4-yr program",Yes (AI-infrastructure focused),Not disclosed,Not disclosed,USD 10 billion (~JPY1.6 trillion) over 4 years (aggregate program),Bloomberg; Microsoft News Center Japan
AWS NRT4 (Equinix TY2),Tokyo (Equinix TY2 building),Not disclosed,Not disclosed,"AWS (leased colo, Equinix-owned)",2011,Unknown,Global fleet PUE 1.15 (2024),Not Applicable (leased colo),Not disclosed per-facility; part of AWS Japan capex,Baxtel
"AWS NRT8 (SCSK ""Tower Three"")","Tokyo/Inzai area, Chiba",Not disclosed,Not disclosed,AWS (leased from SCSK),2012,Unknown,"Company-wide figure (1.15, 2024)",Not Applicable,Not disclosed per-facility,Baxtel
AWS NRT11 (Colt Tokyo Inzai),"Inzai, Chiba Prefecture",Not disclosed,Not disclosed,AWS (leased from Colt DCS),2012,Unknown,"Company-wide figure (1.15, 2024)",Not Applicable,Not disclosed per-facility,Baxtel
AWS NRT12 (Telehouse Tokyo Tama 3),"Tama, Tokyo",Not disclosed,Not disclosed,AWS (leased from Telehouse),2012,Unknown,"Company-wide figure (1.15, 2024)",Not Applicable,Not disclosed per-facility,Baxtel
AWS NRT20,"Inzai, Chiba",Not disclosed,Not disclosed,AWS,Not disclosed,Unknown,"Company-wide figure (1.15, 2024)",Not Applicable,Not disclosed per-facility,datacenters.com; gotcolo.com
AWS NRT55 (Canon Nishi-Tokyo),"Nishi-Tokyo, Tokyo",Not disclosed; Baxtel size bucket: Medium,Not disclosed,AWS (leased from Canon IT Solutions),2012,Unknown,"Company-wide figure (1.15, 2024)",Not Applicable,Not disclosed per-facility,"Baxtel (listed as Canon Nishi-Tokyo, operator Canon IT Solutions Inc, Type: MSP)"
AWS Hamura (new build),"Hamura, Tokyo",7-floor Building 1 (footprint not disclosed),Not disclosed,AWS,Under constr.; planned 2026,Likely (part of AWS post-2024 AI-driven capacity expansion),"Company-wide figure (1.15, 2024)",Not Applicable,Part of AWS's $15.24bn Japan commitment (2024-2027),Baxtel; DCD
"AWS NRT51 (Equinix Osaka OS1, 8th floor)",Osaka,Not disclosed (single floor of OS1),Not disclosed,AWS (leased from Equinix),2018,Unknown,"Company-wide figure (1.15, 2024)",Not Applicable,Not disclosed per-facility,Baxtel
"AWS Tokyo Region (ap-northeast-1, aggregate)","Greater Tokyo metro (4 AZs, ~8 facilities)",Not disclosed (aggregate),"~500 MW (third-party estimate, not AWS-confirmed)",AWS,Launched Mar 2011,Mixed (hosts Bedrock/SageMaker; not purpose-built AIDC),"Company-wide figure (1.15, 2024)",Not Applicable,AWS invested >$8bn in Japan 2011-2022; committing JPY2.26 trillion (~$15.24bn) through 2027,AIDataCenterIndex; CNBC; Amazon press center
"AWS Osaka Region (ap-northeast-3, aggregate)","Osaka (3 AZs, incl. NRT51)",Not disclosed,Not disclosed,AWS,Local region Feb 2018; full region (3 AZs) Mar 2021,Unknown,"Company-wide figure (1.15, 2024)",Not Applicable,Included within the $15.24bn 2024-2027 Japan commitment,AWS blog
"AWS Tokyo — ""Campus Gamma"" (internal codename)",Tokyo,Not disclosed; Baxtel size bucket: Small,Not disclosed,Amazon AWS,Not disclosed (Operational per Baxtel),Unknown,"Company-wide figure (1.15, 2024)",Not Applicable,Not disclosed per-facility,"Baxtel (listed as Campus Gamma, Type: Hyperscale)"
"AWS Tokyo — ""Core Center"" (internal codename)",Tokyo,Not disclosed; Baxtel size bucket: Small,Not disclosed,Amazon AWS,Not disclosed (Operational per Baxtel),Unknown,"Company-wide figure (1.15, 2024)",Not Applicable,Not disclosed per-facility,"Baxtel (listed as Core Center, Type: Hyperscale)"
"AWS Tokyo — ""Hyperscale Data Center"" (internal codename, under construction)",Tokyo,Not disclosed; Baxtel size bucket: Medium,Not disclosed,Amazon AWS,Not disclosed (Construction per Baxtel),Likely (part of AWS AI-driven capacity expansion),"Company-wide figure (1.15, 2024)",Not Applicable,Not disclosed per-facility,"Baxtel (listed as Hyperscale Data Center, Type: Hyperscale, status Construction)"
"AWS Tokyo — ""Plus"" (internal codename)",Tokyo,Not disclosed; Baxtel size bucket: Small,Not disclosed,Amazon AWS,Not disclosed (Operational per Baxtel),Unknown,"Company-wide figure (1.15, 2024)",Not Applicable,Not disclosed per-facility,"Baxtel (listed as Plus, Type: Hyperscale)"
"AWS Tokyo — ""Prime"" (internal codename, x2 facilities)",Tokyo,Not disclosed; Baxtel size buckets: Small and Medium,Not disclosed,Amazon AWS,Not disclosed (Operational per Baxtel),Unknown,"Company-wide figure (1.15, 2024)",Not Applicable,Not disclosed per-facility,"Baxtel (listed as two separate ""Prime"" entries, Type: Hyperscale)"
"AWS Tokyo — ""Valley"" (internal codename)",Tokyo,Not disclosed; Baxtel size bucket: Small,Not disclosed,Amazon AWS,Not disclosed (Operational per Baxtel),Unknown,"Company-wide figure (1.15, 2024)",Not Applicable,Not disclosed per-facility,"Baxtel (listed as Valley, Type: Hyperscale)"
"AWS Tokyo — ""West Center"" (internal codename)",Tokyo,Not disclosed; Baxtel size bucket: Small,Not disclosed,Amazon AWS,Not disclosed (Operational per Baxtel),Unknown,"Company-wide figure (1.15, 2024)",Not Applicable,Not disclosed per-facility,"Baxtel (listed as West Center, Type: Hyperscale; note a separate AWS ""West Center"" also appears in Osaka)"
"AWS Osaka — ""West Center"" (internal codename)",Osaka,Not disclosed; Baxtel size bucket: Small,Not disclosed,Amazon AWS,Not disclosed (Operational per Baxtel),Unknown,"Company-wide figure (1.15, 2024)",Not Applicable,Not disclosed per-facility,"Baxtel (listed as West Center in the Osaka facility table, Type: Hyperscale)"
"OCI Japan East (Tokyo, ap-tokyo-1)","Tokyo (hosted via colo partners, e.g. Equinix TY-series)",Not disclosed,Not disclosed,"Oracle (OCI, colo-based)",Launched 2019,Unknown (Oracle Alloy sovereign-cloud AI push announced separately),"Cited ""as low as 1.15"" in some regions (Japan-specific not disclosed)",Not Applicable,"Part of Oracle's >$8bn, 10-yr Japan cloud/AI investment (Apr 2024)",Oracle blog; Oracle Europe
"OCI Japan Central (Osaka, ap-osaka-1)","Osaka (hosted via colo partners, e.g. Equinix Osaka OS-series)",Not disclosed,Not disclosed,"Oracle (OCI, colo-based)",Launched 2020,Unknown,"Not disclosed, Japan-specific",Not Applicable,"Part of the same >$8bn, 10-yr Japan commitment",oracle4engineer; DCD
Oracle Alloy / NTT sovereign cloud (Japan East & West),Tokyo and Osaka (NTT GDC facilities),Not disclosed,Not disclosed,NTT (facility owner) / Oracle (Alloy software layer),Japan East by Dec 2025 (planned); Japan West by Mar 2027 (planned),Sovereign-cloud AI-capable infra (not a distinct AI-only campus),Not disclosed,Not Applicable,Falls under Oracle's >$8bn Japan commitment; NTT facility capex not disclosed,DCD
Meta / Facebook — no confirmed facility in Japan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,Not Applicable,Meta's official location list (Asia: Singapore only) excludes Japan
Apple — no confirmed data center in Japan,"Yokohama (R&D/tech center, not a data center)",N/A,N/A,N/A,"R&D center under development, timeline unconfirmed",N/A,N/A,Not Applicable,Not Applicable,UMA Technology; MEFMobile
AirTrunk Tokyo TOK1,Tokyo,Baxtel size bucket: Small,Not disclosed,AirTrunk,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel (baxtel.com/data-center/tokyo)
AirTrunk Tokyo TOK2,Tokyo,Baxtel size bucket: Large,Not disclosed,AirTrunk,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
AirTrunk: TOK1 DC2,Tokyo,Baxtel size bucket: Large,Not disclosed,AirTrunk,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
AirTrunk: TOK1 DC3,Tokyo,"140,000 SqFt (Baxtel)",Not disclosed,AirTrunk,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
AirTrunk: TOK1 DC4,Tokyo,Baxtel size bucket: Large,40 MW (Baxtel-confirmed),AirTrunk,Construction; estimated launch Q4 2026 (Baxtel),Likely (hyperscale/AI-era capacity),Not disclosed,Not disclosed,Not disclosed,Baxtel
AirTrunk: TOK1 DC5,Tokyo,Baxtel size bucket: Large,Not disclosed,AirTrunk,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
AirTrunk: TOK1 DC6,Tokyo,Baxtel size bucket: Large,Not disclosed,AirTrunk,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
AirTrunk: TOK1 DC7,Tokyo,Baxtel size bucket: Large,Not disclosed,AirTrunk,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
AirTrunk: TOK2 DC2,Tokyo,Baxtel size bucket: Large,Not disclosed,AirTrunk,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
AirTrunk: Osaka OSK1,Osaka,"177,605 SqFt (Baxtel)",20 MW (Baxtel-confirmed),AirTrunk,Construction; estimated launch Q4 2026 (Baxtel),Likely (hyperscale/AI-era capacity),Not disclosed,Not disclosed,Not disclosed,Baxtel
AirTrunk: Osaka OSK2,Osaka,Baxtel size bucket: Medium,Not disclosed,AirTrunk,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
AirTrunk: OSK2 Expansion,Osaka,Baxtel size bucket: Large,Not disclosed,AirTrunk,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Ada Infrastructure: Tokyo East 1,Tokyo,Baxtel size bucket: Medium,Not disclosed,Ada Infrastructure,Construction (Baxtel),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Ada Infrastructure: Tokyo East 2,Tokyo,Baxtel size bucket: Extra Large,Not disclosed,Ada Infrastructure,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Ada Infrastructure: Tokyo West 1,Tokyo,Baxtel size bucket: Small,Not disclosed,Ada Infrastructure,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Ada Infrastructure: Tokyo West 2,Tokyo,Baxtel size bucket: Extra Large,Not disclosed,Ada Infrastructure,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Ada Infrastructure: TKW1 DC2,Tokyo,Baxtel size bucket: Small,Not disclosed,Ada Infrastructure,Construction (Baxtel),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Ada Infrastructure: TKW1 DC3,Tokyo,Baxtel size bucket: Small,Not disclosed,Ada Infrastructure,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Ada Infrastructure: Osaka East 1,Osaka,Baxtel size bucket: Medium,Not disclosed,Ada Infrastructure,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
"Ada Infrastructure: Carrier-Neutral Data Center (Tokyo, x2 planned sites)",Tokyo,Baxtel size bucket: Medium,Not disclosed,Ada Infrastructure,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,"Baxtel (two separate generic-named ""Carrier-Neutral Data Center"" listings)"
Digital Edge: Shibuya (SDC),"Shibuya-ku, Tokyo",Baxtel size bucket: Extra Small,Not disclosed,Digital Edge DC,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Digital Edge: Tokyo TY01,Tokyo,Baxtel size bucket: Small,Not disclosed,Digital Edge DC,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Digital Edge: Comspace I (TY02),Tokyo,Not disclosed,Not disclosed,Digital Edge DC,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Digital Edge: Comspace II (TY03),Tokyo,Baxtel size bucket: Small,Not disclosed,Digital Edge DC,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Digital Edge: Otemachi TYO2,"Chiyoda-ku, Tokyo",Baxtel size bucket: Extra Small,Not disclosed,Digital Edge DC,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Digital Edge: Yokohama TY04,"Yokohama, Kanagawa",Baxtel size bucket: Small,Not disclosed,Digital Edge DC,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Digital Edge: Yokohama TY05,"Yokohama, Kanagawa",Baxtel size bucket: Extra Small,Not disclosed,Digital Edge DC,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Digital Edge: Yokohama TY06,"Yokohama, Kanagawa",Baxtel size bucket: Extra Small,Not disclosed,Digital Edge DC,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Digital Edge: TY07,Tokyo,Baxtel size bucket: Small,Not disclosed,Digital Edge DC,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Digital Edge: Osaka OSA1,Osaka,Baxtel size bucket: Small,Not disclosed,Digital Edge DC,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Digital Edge: Osaka OSA2,Osaka,Baxtel size bucket: Small,Not disclosed,Digital Edge DC,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
"Digital Edge: Carrier-Neutral Data Center (Osaka, planned)",Osaka,Baxtel size bucket: Large,Not disclosed,Digital Edge DC,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Keppel DC: Tokyo 1,Tokyo,Baxtel size bucket: Medium,Not disclosed,Keppel Data Center REIT,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Keppel DC: Tokyo 2,Tokyo,"361,667 SqFt (Baxtel)",36 MW (Baxtel-confirmed),Keppel Data Center REIT,Construction; estimated launch Q4 2026 (Baxtel),Likely (large new hyperscale-class build),Not disclosed,Not disclosed,Not disclosed,Baxtel
NEXTDC: TK1 Tokyo,Tokyo,Baxtel size bucket: Medium,Not disclosed,NEXTDC,Construction (Baxtel),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Goldman Sachs: Tokyo HND1,Tokyo (Haneda area),Not disclosed,Not disclosed,Goldman Sachs,"Not disclosed (Operational, Planned per Baxtel — phased)",Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Goldman Sachs: Higashiosaka,"Higashiosaka, Osaka",Not disclosed,Not disclosed,Goldman Sachs,Land Bank (not yet under development),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
ESR Group: Ariake,"Koto-ku (Ariake), Tokyo",Baxtel size bucket: Large,Not disclosed,ESR Group,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
ESR Group: Higashikurume,"Higashikurume, Tokyo",Baxtel size bucket: Medium,Not disclosed,ESR Group,Construction (Baxtel),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
ESR Group: Cosmosquare OS1,"Cosmosquare, Osaka",Baxtel size bucket: Medium,Not disclosed,ESR Group,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
"ESR Group: Minoh, Osaka","Minoh, Osaka",Baxtel size bucket: Extra Large,Not disclosed,ESR Group,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
